"","carat","cut","color","clarity","depth","table","price","x","y","z"
"33688",0.41,"Very Good","D","SI1",63,59,838,4.73,4.76,2.99
"41055",0.4,"Very Good","E","VVS2",62.1,59,1189,4.67,4.7,2.91
"34993",0.35,"Ideal","E","VVS2",61.3,56,881,4.54,4.6,2.8
"136",0.63,"Premium","E","VVS1",60.9,60,2765,5.52,5.55,3.37
"20871",1.63,"Very Good","I","SI1",62,54,9090,7.6,7.67,4.73
"7003",1,"Good","D","SI1",57.6,62,4155,6.62,6.5,3.78
"29463",0.32,"Premium","E","VS2",61.7,58,702,4.38,4.41,2.71
"10292",1,"Premium","D","SI2",61.6,60,4758,6.37,6.33,3.91
"18939",1.01,"Very Good","D","VS1",63.1,56,7785,6.38,6.33,4.01
"51044",0.7,"Good","H","VS2",63.9,59,2330,5.6,5.64,3.59
"22543",1.61,"Very Good","E","SI2",60.4,58,10580,7.59,7.64,4.6
"39391",0.5,"Ideal","I","SI1",62.3,56,1076,5.04,5.08,3.15
"32520",0.35,"Ideal","G","VVS2",61,57,798,4.54,4.58,2.78
"40777",0.53,"Very Good","E","SI2",63.1,58,1167,5.15,5.18,3.26
"6362",0.32,"Premium","I","VS2",62.8,58,576,4.37,4.33,2.73
"40806",0.63,"Premium","E","SI2",58.9,59,1169,5.64,5.6,3.31
"21446",1.5,"Very Good","E","SI2",62.1,59,9548,7.26,7.33,4.53
"3144",0.71,"Very Good","F","VVS2",63.6,56,3332,5.65,5.7,3.61
"28278",0.31,"Very Good","J","SI1",61.9,59,363,4.28,4.32,2.66
"36892",0.31,"Ideal","F","VVS1",62.1,56,959,4.38,4.35,2.71
"36808",0.3,"Premium","G","IF",61.6,60,956,4.32,4.29,2.65
"31222",0.32,"Ideal","D","SI1",62.7,54,756,4.39,4.35,2.74
"32672",0.31,"Ideal","G","VS1",62.4,55,802,4.35,4.33,2.71
"24977",2,"Good","H","SI2",63.6,57,13480,8.01,7.97,5.08
"46506",0.56,"Premium","F","VS2",59.6,58,1778,5.36,5.34,3.19
"44749",0.52,"Ideal","I","VVS1",62,55,1619,5.19,5.17,3.21
"38732",0.4,"Ideal","G","VVS1",62.4,54,1043,4.73,4.75,2.96
"40107",0.5,"Fair","E","SI2",59.8,66,1114,5.18,5.09,3.07
"4307",0.82,"Very Good","D","SI1",61.3,56,3593,6.02,6.06,3.7
"828",0.96,"Premium","I","SI1",61.3,58,2866,6.39,6.3,3.89
"53893",0.7,"Ideal","F","VS1",62.5,56,2751,5.73,5.7,3.57
"29143",0.34,"Ideal","F","VS1",61.1,57,692,4.51,4.55,2.77
"3331",0.93,"Good","F","SI2",61.3,62,3376,6.17,6.26,3.81
"44562",0.52,"Premium","D","SI1",60.9,61,1605,5.15,5.13,3.13
"43808",0.51,"Premium","H","VS1",62.5,58,1443,5.12,5.09,3.19
"35459",0.32,"Ideal","E","VS2",61.6,55,900,4.42,4.41,2.72
"47621",0.55,"Ideal","G","VS1",60.9,55,1881,5.32,5.29,3.23
"35654",0.31,"Very Good","G","VVS2",63.1,57,907,4.32,4.3,2.72
"40091",0.33,"Ideal","G","VVS1",61.7,54,1114,4.48,4.47,2.76
"24061",1.5,"Ideal","D","SI1",60.3,57,12206,7.37,7.4,4.45
"52812",0.71,"Premium","H","VS1",62.9,57,2572,5.72,5.67,3.58
"29001",0.34,"Ideal","F","VS2",62.5,55,686,4.48,4.51,2.81
"33668",0.34,"Very Good","G","VVS1",59,62,835,4.56,4.6,2.7
"45543",0.51,"Ideal","F","VS2",62.9,57,1687,5.11,5.09,3.21
"9311",1,"Very Good","E","SI2",60.6,60,4576,6.33,6.4,3.86
"27079",1.71,"Ideal","G","VS1",61.4,57,17204,7.72,7.65,4.72
"35362",0.38,"Premium","H","VS2",61.8,58,898,4.66,4.63,2.87
"28980",0.25,"Very Good","F","VS1",62.1,58,436,4,4.05,2.5
"24931",1.51,"Very Good","G","VS1",62.9,58,13378,7.32,7.41,4.63
"23454",1.01,"Ideal","D","VVS2",61.9,56,11442,6.41,6.45,3.98
"28356",0.34,"Ideal","H","VVS2",61.2,56,667,4.51,4.54,2.77
"10981",1.13,"Ideal","H","SI2",61.6,55,4911,6.68,6.72,4.13
"7159",1.01,"Fair","E","SI1",64.7,59,4181,6.23,6.11,3.99
"25398",1.5,"Premium","G","VS1",62.7,58,14105,7.25,7.3,4.56
"37788",0.5,"Good","E","SI2",63.2,61,1000,5.02,5.05,3.18
"28671",0.24,"Ideal","F","VVS2",61.7,55,678,3.99,4.02,2.47
"16307",1.19,"Very Good","F","SI1",60.8,59,6526,6.85,6.89,4.18
"53109",0.8,"Premium","I","VS2",62.9,61,2616,5.84,5.77,3.65
"35461",0.33,"Premium","F","VVS2",62.3,60,901,4.43,4.4,2.75
"13789",1,"Very Good","D","SI1",59.2,62,5621,6.49,6.54,3.86
"40617",0.24,"Very Good","D","VVS2",60.1,57,499,4.03,4.09,2.44
"6886",1.06,"Very Good","I","SI2",62.8,56,4132,6.47,6.55,4.09
"29100",0.34,"Ideal","I","VS1",62.6,56,689,4.47,4.44,2.79
"14820",1,"Premium","G","VS2",63,59,5967,6.45,6.32,4.02
"52616",0.77,"Premium","H","VS2",59.4,60,2546,6,5.96,3.55
"28078",0.4,"Ideal","J","VVS2",61.8,55,662,4.76,4.79,2.95
"50450",0.7,"Very Good","F","SI1",63.4,59,2264,5.59,5.64,3.56
"50317",1.06,"Fair","I","I1",64.5,57,2239,6.47,6.33,4.13
"6923",0.91,"Premium","E","SI1",61.9,61,4138,6.12,6.1,3.78
"2832",0.7,"Good","D","VVS2",63.3,54,3267,5.6,5.64,3.56
"17130",1.21,"Ideal","H","VS1",60.7,57,6834,6.86,6.89,4.17
"48270",0.53,"Ideal","D","VS2",60.2,57,1956,5.26,5.24,3.16
"34033",0.4,"Very Good","D","VS2",59.3,58,850,4.8,4.85,2.86
"32036",0.32,"Ideal","E","VVS2",62.1,53,779,4.41,4.44,2.75
"9728",1.12,"Premium","F","SI2",60.5,59,4654,6.79,6.73,4.09
"33949",0.31,"Ideal","H","SI1",61.1,56,464,4.35,4.39,2.67
"30113",0.32,"Premium","G","VS2",60.5,58,720,4.42,4.41,2.67
"52175",0.7,"Premium","E","SI2",62.8,59,2475,5.69,5.64,3.56
"21677",1.52,"Very Good","H","SI1",63.4,55,9780,7.25,7.3,4.61
"42032",0.53,"Good","F","SI1",63.8,56,1268,5.13,5.16,3.28
"46123",0.72,"Ideal","F","SI2",62,57,1743,5.68,5.64,3.51
"9277",1.01,"Very Good","D","SI2",61.4,60,4564,6.33,6.38,3.9
"43472",0.59,"Ideal","D","SI2",62.4,58,1419,5.35,5.39,3.35
"3570",0.75,"Ideal","E","SI1",61.4,56,3419,5.83,5.89,3.6
"35874",0.41,"Ideal","E","VVS2",62,55,918,4.73,4.79,2.95
"53156",0.73,"Very Good","F","SI2",61.7,60,2624,5.71,5.8,3.55
"6671",0.95,"Very Good","J","VVS2",60.5,59,4098,6.33,6.36,3.84
"32787",0.43,"Very Good","F","VS2",62.5,60,804,4.81,4.86,3.02
"28759",0.31,"Ideal","E","VS2",62,55,680,4.33,4.35,2.69
"23176",2,"Fair","J","SI1",66.4,55,11189,7.82,7.67,5.15
"47475",0.52,"Very Good","D","VS1",62.6,59,1860,5.03,5.13,3.18
"28147",0.3,"Ideal","G","VVS2",61.8,57,665,4.29,4.32,2.66
"52661",0.71,"Good","I","VVS1",63.8,56,2549,5.65,5.7,3.62
"9437",1,"Premium","I","SI1",59.6,58,4592,6.55,6.5,3.89
"8100",0.91,"Good","E","VS2",63.1,58,4345,6.13,6.19,3.89
"21131",1.73,"Very Good","I","SI2",62,58,9292,7.6,7.69,4.74
"47015",0.56,"Ideal","E","VS2",60.7,57,1819,5.31,5.34,3.23
"21701",0.31,"Very Good","G","VVS2",62.7,55,627,4.32,4.35,2.72
"30168",0.32,"Very Good","F","VVS2",63,56,721,4.37,4.39,2.76
"24286",1.75,"Premium","I","VS1",60.6,60,12529,7.84,7.8,4.74
"36214",0.36,"Premium","G","VS1",61.2,60,932,4.59,4.56,2.8
"23805",1.65,"Premium","G","SI1",61,58,11864,7.66,7.62,4.66
"33342",0.41,"Very Good","G","VS2",59.9,59,827,4.82,4.86,2.9
"24348",1.39,"Very Good","E","VS1",60.9,61,12614,7.15,7.19,4.37
"19957",1.24,"Ideal","G","VS2",62.1,56,8504,6.87,6.91,4.28
"32996",0.38,"Premium","H","SI1",59.7,60,812,4.68,4.66,2.79
"37161",0.32,"Ideal","D","VS2",62.7,57,972,4.44,4.4,2.77
"35795",0.31,"Ideal","D","VS1",60.1,57,913,4.39,4.4,2.64
"13008",1.05,"Very Good","H","SI1",60.5,58,5406,6.55,6.6,3.98
"32076",0.32,"Ideal","F","VS2",61.4,55,781,4.42,4.44,2.72
"40313",0.4,"Premium","E","VS1",62.4,54,1125,4.75,4.71,2.95
"25512",1.5,"Ideal","H","VVS1",61.2,57,14304,7.34,7.4,4.51
"47963",0.57,"Ideal","E","VS2",60.8,56,1919,5.34,5.37,3.26
"34521",0.33,"Premium","G","VVS1",62.1,58,868,4.4,4.43,2.74
"1900",0.72,"Premium","E","VS2",62.5,59,3078,5.7,5.73,3.57
"42087",0.42,"Ideal","H","IF",61.9,56,1273,4.81,4.79,2.97
"5361",0.9,"Good","G","SI1",64.1,59.4,3816,6.04,6.08,3.88
"24081",1.65,"Ideal","H","VVS2",62.1,56,12225,7.68,7.65,4.76
"53496",1.01,"Fair","J","SI2",66.9,58,2683,6.13,6.07,4.08
"24092",1.26,"Ideal","F","VVS2",62.3,57,12237,6.87,6.92,4.3
"13061",0.93,"Ideal","E","VS2",62.4,56,5411,6.26,6.3,3.92
"13001",1,"Premium","H","VS2",62.4,59,5404,6.75,6.72,4.2
"11647",1.2,"Premium","J","VS2",62.6,57,5053,6.8,6.72,4.23
"43876",0.52,"Ideal","F","VS2",61.3,56,1451,5.14,5.2,3.17
"12969",1.12,"Ideal","I","VS2",61.2,54,5392,6.74,6.77,4.13
"48503",0.54,"Ideal","G","VVS1",61.3,56,1982,5.23,5.28,3.22
"31908",0.3,"Premium","G","VS1",61.9,59,776,4.32,4.28,2.66
"40734",0.54,"Ideal","F","SI2",61.2,56,1162,5.27,5.28,3.23
"3702",1,"Good","E","SI2",64.3,58,3450,6.18,6.11,3.95
"2544",0.58,"Ideal","D","VVS1",60.6,57,3206,5.38,5.41,3.27
"21360",1.28,"Premium","G","VS1",60.9,58,9505,7.09,7.01,4.29
"48731",0.52,"Ideal","G","VVS2",61.7,56,2012,5.16,5.14,3.18
"37393",0.5,"Ideal","I","SI1",62,55,982,5.09,5.14,3.17
"41257",0.38,"Premium","I","SI2",60,59,500,4.69,4.71,2.82
"48388",0.59,"Ideal","G","VVS2",62.2,56,1966,5.37,5.4,3.35
"2083",0.76,"Very Good","E","VS2",61,58,3111,5.88,5.93,3.6
"33862",0.3,"Premium","E","VS2",61.8,58,844,4.36,4.31,2.68
"49449",0.51,"Ideal","G","VVS1",61,57,2111,5.17,5.16,3.15
"29128",0.3,"Very Good","G","VVS1",60.7,57,691,4.35,4.37,2.65
"53009",0.7,"Ideal","F","SI1",60.8,57,2596,5.73,5.71,3.48
"23320",1.72,"Premium","I","VS2",58.3,61,11360,7.91,7.87,4.6
"32147",0.32,"Ideal","F","VVS2",62,55,786,4.39,4.41,2.73
"49773",0.5,"Premium","F","VVS2",61.8,56,2160,5.15,5.11,3.17
"42152",0.5,"Ideal","I","VS1",62.2,55,1282,5.07,5.11,3.16
"10299",1.01,"Very Good","I","SI1",62.9,58,4759,6.36,6.4,4.01
"36407",0.31,"Premium","E","VS1",61.7,58,942,4.36,4.3,2.67
"4064",0.31,"Good","D","SI1",63.5,57,571,4.28,4.32,2.73
"2974",0.62,"Ideal","F","VVS2",61.4,56,3299,5.46,5.5,3.37
"26375",1.5,"Ideal","F","VS1",62.3,56,15851,7.34,7.3,4.56
"9274",1.07,"Ideal","E","SI2",61.6,55,4564,6.62,6.59,4.07
"32168",0.41,"Ideal","H","SI2",60.8,57,787,4.84,4.8,2.93
"17620",1.16,"Fair","F","VS1",57.8,67,7094,6.97,6.84,3.99
"49279",0.54,"Premium","G","VVS2",60.5,55,2090,5.28,5.24,3.18
"34318",0.33,"Very Good","F","VVS1",62,56,859,4.41,4.44,2.74
"16355",0.3,"Premium","H","VS2",62.7,59,608,4.27,4.22,2.66
"3760",0.86,"Ideal","E","SI1",62.3,54,3456,6.13,6.07,3.8
"19251",1.32,"Ideal","F","VS2",62.3,57,7983,7.06,6.97,4.37
"13854",1.05,"Premium","E","VS2",62.6,59,5645,6.5,6.43,4.05
"45620",0.55,"Ideal","F","VS2",61.1,57,1692,5.27,5.3,3.23
"26302",1.55,"Premium","F","VS1",61.6,56,15801,7.45,7.38,4.57
"9438",1,"Good","H","VVS2",59.5,64,4592,6.44,6.41,3.82
"40399",0.38,"Ideal","E","VS1",62.2,54.1,1133,4.63,4.65,2.89
"22578",1.51,"Good","H","VS2",63.5,60,10628,7.24,7.27,4.61
"15067",1.06,"Ideal","D","SI1",62.7,54,6055,6.55,6.52,4.1
"41133",0.42,"Very Good","D","VVS1",61.4,55,1197,4.82,4.86,2.97
"26293",1.52,"Good","E","VS1",64,55,15792,7.27,7.19,4.63
"1886",0.72,"Very Good","D","VS2",61.8,58,3075,5.73,5.76,3.55
"5605",0.96,"Good","F","VS2",63.7,54,3871,6.24,6.19,3.96
"17222",1.21,"Very Good","H","VS2",60.1,57,6887,6.88,6.97,4.16
"35505",0.41,"Premium","E","SI1",61.1,62,904,4.83,4.76,2.93
"10512",0.63,"Very Good","D","IF",59.6,59,4800,5.55,5.59,3.32
"35140",0.39,"Premium","E","VS2",61.4,58,889,4.68,4.73,2.89
"33778",0.32,"Ideal","E","VS1",59.5,57,842,4.49,4.45,2.66
"13997",1.19,"Very Good","H","SI1",63.3,55,5698,6.76,6.69,4.26
"43443",0.5,"Premium","E","SI1",62.3,58,1415,5.15,5.09,3.19
"23248",1.51,"Premium","G","SI1",62.6,58,11255,7.3,7.27,4.56
"5197",1.01,"Ideal","F","SI2",61.3,57,3777,6.4,6.35,3.91
"949",0.9,"Good","H","SI2",63.5,58,2889,6.09,6.14,3.88
"50229",0.71,"Premium","H","SI2",62.7,57,2231,5.71,5.64,3.56
"34273",0.25,"Very Good","H","VVS1",61.6,56,467,4.07,4.1,2.51
"47627",0.75,"Premium","F","SI2",59.8,60,1881,5.96,5.92,3.55
"41275",0.28,"Ideal","I","VS1",62,56,503,4.2,4.24,2.62
"783",0.71,"Premium","D","VS1",62.9,57,2860,5.66,5.6,3.54
"38317",0.52,"Very Good","J","SI1",62.5,59,1019,5.14,5.16,3.22
"50205",0.8,"Premium","J","SI1",60.1,57,2227,6.03,5.98,3.61
"19486",1.01,"Premium","G","IF",60,61,8120,6.45,6.41,3.86
"16006",1.22,"Premium","E","SI1",59.7,61,6403,7.03,6.9,4.16
"15799",1.17,"Ideal","G","VS2",62.2,57,6321,6.75,6.72,4.19
"11397",0.34,"Very Good","E","SI1",59.6,57,596,4.52,4.61,2.72
"27386",0.41,"Ideal","J","VS1",62.1,56,647,4.75,4.79,2.96
"30368",0.36,"Ideal","I","VS1",62.1,57,729,4.58,4.54,2.83
"42253",0.5,"Very Good","E","SI1",63.7,58,1293,5.02,5.06,3.21
"29909",0.35,"Good","E","VS2",57.8,60,711,4.64,4.67,2.69
"9131",1.08,"Ideal","H","SI2",61,57,4536,6.64,6.6,4.04
"14070",0.3,"Good","H","VVS2",63.6,56,605,4.26,4.29,2.72
"48654",0.36,"Good","G","SI1",63.3,56,537,4.5,4.53,2.86
"32935",0.37,"Ideal","E","VS2",62.7,56,811,4.55,4.6,2.87
"24090",1.52,"Premium","H","VVS2",62.8,57,12232,7.38,7.27,4.6
"36519",0.3,"Premium","F","VVS2",61.5,58,945,4.31,4.29,2.64
"598",0.7,"Premium","F","VS2",62.3,58,2838,5.72,5.64,3.54
"5263",0.9,"Ideal","H","SI2",62.3,57,3794,6.16,6.19,3.85
"13586",1.05,"Ideal","F","SI1",62,55,5557,6.54,6.5,4.04
"19853",1.22,"Ideal","H","VS1",61.9,54,8411,6.88,6.9,4.26
"27708",0.36,"Good","E","SI2",63.7,54,648,4.55,4.52,2.89
"34616",0.27,"Premium","E","VS1",60.2,59,470,4.2,4.24,2.54
"30086",0.32,"Ideal","H","VS1",61.3,55,720,4.43,4.41,2.71
"43496",0.54,"Good","G","VS2",63.2,55,1422,5.15,5.2,3.27
"41770",0.54,"Ideal","E","SI2",60.4,57,1246,5.27,5.33,3.2
"20545",1.62,"Ideal","H","SI2",61.8,54,8865,7.55,7.6,4.68
"29738",0.32,"Ideal","G","VVS2",62,56,708,4.41,4.43,2.74
"17788",1.07,"Very Good","G","VS1",62.8,58,7168,6.48,6.52,4.08
"16132",1.22,"Premium","G","SI1",61.2,60,6449,6.82,6.75,4.15
"39405",0.41,"Premium","G","VVS2",61.6,58,1076,4.8,4.74,2.94
"36316",0.32,"Ideal","G","VVS2",61.3,56,936,4.44,4.43,2.72
"33444",0.32,"Ideal","G","VS1",61.6,56,828,4.42,4.38,2.71
"33926",0.37,"Ideal","E","VVS2",61.8,54,844,4.6,4.63,2.85
"51462",0.7,"Premium","E","SI2",62.1,57,2376,5.68,5.6,3.5
"7113",0.8,"Ideal","D","VS2",61,57,4170,5.96,6,3.65
"34125",0.35,"Ideal","F","VS1",62.4,55,853,4.52,4.49,2.81
"6151",0.7,"Ideal","E","VVS2",62.3,53.7,3990,5.67,5.72,3.55
"17993",1.31,"Premium","H","VS2",62.5,58,7277,6.97,6.94,4.35
"9642",1.1,"Very Good","I","SI1",61.2,61,4640,6.61,6.66,4.01
"8581",1.13,"Very Good","G","SI2",60,61,4437,6.71,6.78,4.05
"45222",0.52,"Ideal","E","SI1",61.1,57,1656,5.2,5.17,3.16
"40969",0.51,"Good","D","SI2",63.9,55,1180,5.04,5.1,3.24
"49979",0.31,"Very Good","I","VVS1",63.6,55,541,4.27,4.32,2.73
"52992",0.94,"Ideal","F","I1",61.5,55,2594,6.37,6.34,3.91
"44881",0.5,"Premium","G","VS1",60.7,62,1629,5.1,5.08,3.09
"28333",0.33,"Premium","G","VS1",62.4,59,666,4.41,4.47,2.77
"29298",0.3,"Ideal","I","VS2",61.3,58,438,4.3,4.31,2.64
"6909",0.9,"Very Good","H","VS1",61.8,56,4136,6.16,6.18,3.81
"4898",0.9,"Premium","I","VS1",61,55,3720,6.29,6.27,3.83
"84",0.38,"Ideal","I","SI2",61.6,56,554,4.65,4.67,2.87
"13380",0.32,"Ideal","H","SI2",61.9,54,420,4.42,4.46,2.75
"51687",0.76,"Ideal","I","SI1",61.6,54,2399,5.86,5.92,3.63
"774",0.7,"Premium","D","VS2",62.4,56,2859,5.72,5.66,3.55
"20297",1.21,"Very Good","F","VS2",60.1,55,8711,6.91,7.01,4.18
"38315",0.44,"Good","F","SI1",56.9,61,1018,5.12,5.07,2.9
"22039",0.31,"Ideal","I","VS1",61.9,54,628,4.38,4.34,2.7
"43515",0.61,"Good","D","SI2",59.8,62,1423,5.48,5.53,3.29
"51339",0.52,"Ideal","D","VVS2",62.3,56,2362,5.12,5.15,3.2
"44019",0.51,"Ideal","E","SI1",59.6,57,1546,5.24,5.2,3.11
"30709",0.37,"Very Good","E","VS1",63.7,56,738,4.54,4.6,2.91
"43967",0.32,"Very Good","H","SI2",63.1,56,517,4.37,4.34,2.75
"14010",1.01,"Good","D","SI1",58.4,62,5700,6.48,6.5,3.79
"41512",0.44,"Premium","G","VVS1",60.9,59,1235,4.9,4.96,3
"20566",1.21,"Premium","F","VS2",61.5,57,8877,6.81,6.74,4.17
"30320",0.36,"Very Good","G","VS1",59.7,56,726,4.64,4.67,2.78
"37615",0.24,"Very Good","E","VVS1",60.4,62,485,3.99,4.02,2.42
"27414",1.76,"Very Good","G","VS1",62.8,55.4,18014,7.7,7.74,4.85
"47988",0.25,"Very Good","D","VVS1",63.8,54,533,3.94,3.99,2.53
"51674",0.71,"Ideal","E","SI2",61.2,57,2398,5.74,5.82,3.54
"16453",1.09,"Very Good","G","VS1",59.7,63,6570,6.74,6.65,4
"30475",0.31,"Ideal","I","VVS1",62,54,732,4.37,4.34,2.7
"48105",0.5,"Premium","G","VVS2",61.6,60,1935,5.13,5.1,3.15
"473",1,"Fair","H","SI2",65.3,62,2818,6.34,6.12,4.08
"46356",0.71,"Very Good","J","SI1",61,61,1760,5.66,5.71,3.47
"30478",0.31,"Premium","I","VVS1",62.2,60,732,4.32,4.3,2.68
"7323",1.01,"Good","H","VS2",63.9,58,4208,6.26,6.22,3.99
"48844",0.55,"Premium","E","VS2",61.1,58,2030,5.3,5.28,3.23
"36713",0.42,"Premium","E","SI1",60,61,953,4.88,4.85,2.92
"33477",0.32,"Ideal","F","VS2",61.5,55,828,4.42,4.4,2.71
"41062",0.5,"Premium","D","SI2",62.2,58,1190,5.08,5.14,3.18
"16236",1.38,"Very Good","J","VS2",62.7,56,6494,7.06,7.11,4.44
"25475",1.5,"Ideal","F","VS2",61.4,55,14242,7.35,7.44,4.54
"37462",0.42,"Premium","G","VS1",59.4,59,984,4.9,4.86,2.9
"15494",1,"Very Good","G","VS2",62.7,59,6208,6.32,6.38,3.98
"32528",0.35,"Premium","H","VVS1",60.6,60,798,4.51,4.57,2.75
"5490",0.83,"Ideal","F","VS2",61.6,58,3841,6.04,6.07,3.73
"11054",0.32,"Very Good","I","VVS1",60.9,57,596,4.45,4.48,2.71
"37152",0.32,"Ideal","D","VS2",61.7,57,972,4.39,4.36,2.7
"13426",1.08,"Very Good","H","VS2",62.9,59,5515,6.47,6.56,4.1
"18280",1.21,"Ideal","E","SI1",61.9,57,7424,6.88,6.79,4.23
"19767",1.2,"Ideal","F","VS2",62.3,55,8334,6.79,6.83,4.24
"41768",0.46,"Good","G","VVS2",60.2,60.5,1245,4.98,5.04,3.02
"16706",0.3,"Premium","H","SI1",61.2,60,421,4.29,4.31,2.63
"50303",0.27,"Very Good","D","VVS1",61,61,544,4.14,4.15,2.53
"1401",0.32,"Ideal","G","VS1",61.8,55,559,4.42,4.45,2.74
"21648",1,"Very Good","D","VVS2",59.9,61,9740,6.42,6.5,3.87
"32823",0.34,"Ideal","D","VS2",62,55,805,4.45,4.48,2.77
"23650",1.73,"Ideal","H","SI1",62.7,56,11688,7.62,7.67,4.79
"33833",0.43,"Very Good","G","VS2",61,56,844,4.87,4.89,2.98
"45224",0.52,"Ideal","E","SI1",60.7,55,1656,5.23,5.22,3.18
"3306",0.8,"Ideal","F","VS2",62.7,54,3369,5.95,5.91,3.72
"32868",0.38,"Ideal","I","VVS2",63.4,53,809,4.61,4.63,2.93
"39529",0.4,"Premium","I","VVS1",62.7,59,1080,4.71,4.67,2.94
"49002",0.67,"Premium","G","VS2",61,57,2050,5.68,5.63,3.45
"22945",1.56,"Premium","H","SI1",61.9,59,10990,7.46,7.4,4.6
"37798",0.41,"Ideal","G","VVS1",61.8,55,1000,4.76,4.79,2.95
"35305",0.3,"Ideal","I","VS1",61,56,473,4.35,4.37,2.66
"33315",0.35,"Ideal","D","SI1",61.6,57,827,4.55,4.54,2.8
"34073",0.45,"Very Good","E","SI1",62.8,58,851,4.84,4.88,3.05
"1267",0.9,"Premium","I","SI2",62.5,58,2948,6.15,6.1,3.83
"37213",0.34,"Ideal","G","IF",62.2,53,974,4.49,4.52,2.8
"16857",1.2,"Premium","H","VS1",62.7,58,6727,6.75,6.65,4.2
"28573",0.3,"Ideal","H","VS1",62.7,55,675,4.3,4.25,2.68
"37431",0.33,"Premium","E","VVS1",60.1,58,984,4.47,4.51,2.7
"11198",1.02,"Premium","H","VS2",60,58,4958,6.56,6.5,3.92
"7424",0.92,"Very Good","H","VS1",61,62,4228,6.26,6.32,3.84
"34864",0.3,"Premium","G","VVS2",61.9,59,878,4.28,4.25,2.64
"48605",0.77,"Premium","G","SI2",61.2,58,1996,5.99,5.96,3.64
"44052",0.52,"Ideal","E","VS2",62.3,53,1549,5.17,5.2,3.23
"46597",0.54,"Ideal","F","VS2",62.2,57,1786,5.24,5.21,3.25
"36727",0.32,"Very Good","G","IF",62.9,55,954,4.37,4.41,2.76
"34261",0.3,"Ideal","H","SI1",60.7,56,465,4.35,4.37,2.65
"32622",0.3,"Ideal","I","VS1",62,57,457,4.26,4.29,2.65
"34629",0.31,"Ideal","E","VS2",60.8,54,872,4.4,4.39,2.67
"14356",1.06,"Premium","G","VS2",62.3,59,5813,6.52,6.49,4.05
"13971",1.85,"Very Good","H","I1",63.3,56,5688,7.8,7.75,4.92
